City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
334,bagan,100,RU,1571197211,81,54.1,77.67,46.31,19.26
335,sivaki,46,RU,1571197212,47,52.63,126.75,40.55,5.52
336,yelan,77,RU,1571197212,93,50.95,43.74,39.99,4.0
337,norman wells,90,CA,1571197212,94,65.28,-126.83,32.0,10.29
338,pavlohrad,31,UA,1571197213,100,48.53,35.87,46.4,3.8
339,ocampo,32,MX,1571197213,79,27.32,-102.4,69.17,2.66
340,mayya,75,RU,1571197214,74,61.74,130.28,28.4,4.78
341,whitianga,47,NZ,1571197214,74,-36.83,175.7,64.99,15.01
342,hesla,0,IN,1571197215,64,24.07,85.88,77.81,1.21
343,sijunjung,100,ID,1571197215,68,-0.69,100.95,83.57,1.87
344,ravar,0,IR,1571197216,21,31.27,56.81,59.45,4.03
345,christchurch,53,NZ,1571197216,71,-43.53,172.64,60.01,3.36
346,arenzano,25,IT,1571197216,77,44.4,8.68,62.01,5.82
347,haines junction,94,CA,1571197216,95,60.75,-137.51,21.47,2.75
348,mirabad,0,IR,1571197217,31,28.27,61.33,62.33,1.77
349,manokwari,56,ID,1571197218,82,-0.87,134.08,77.81,3.49
350,drumheller,100,CA,1571197218,53,51.47,-112.7,43.0,17.61
351,fort frances,90,CA,1571197219,86,48.61,-93.4,41.0,8.05
352,ahome,20,MX,1571197219,74,25.92,-109.18,82.4,9.17
353,sao joao da barra,71,BR,1571197219,84,-21.64,-41.05,74.75,11.53
354,aklavik,90,CA,1571197220,85,68.22,-135.01,21.2,6.93
355,zarate,100,MX,1571197220,88,18.92,-101.44,63.0,1.99
356,malino,0,HR,1571197220,93,45.17,17.73,48.2,6.93
357,yeniseysk,100,RU,1571197221,76,58.45,92.17,48.47,9.54
358,te anau,22,NZ,1571197221,76,-45.41,167.72,52.97,4.36
359,northam,0,AU,1571197222,32,-31.65,116.67,66.2,9.17
360,yeppoon,90,AU,1571197222,51,-23.13,150.74,84.2,10.29
361,kabarnet,91,KE,1571197223,87,0.5,35.74,57.2,2.24
362,yazoo city,90,US,1571197223,100,32.86,-90.41,68.0,3.78
363,mayor pablo lagerenza,100,PY,1571197223,54,-19.93,-60.77,63.05,8.02
364,sihora,0,IN,1571197224,73,23.49,80.11,77.0,2.24
365,veliki trnovac,0,RS,1571197224,93,42.48,21.74,53.01,3.36
366,varhaug,75,NO,1571197224,81,58.61,5.65,54.0,13.87
367,pyaozerskiy,99,RU,1571197225,96,65.83,31.17,32.81,10.69
368,vanimo,90,PG,1571197225,67,-2.67,141.3,83.93,4.96
369,skibbereen,20,IE,1571197226,93,51.55,-9.27,42.8,9.17
370,challans,90,FR,1571197226,82,46.85,-1.88,60.8,17.22
371,wuan,100,CN,1571197227,85,31.68,112.0,49.37,11.26
372,kabacan,23,PH,1571197227,66,7.11,124.82,87.53,1.78
373,san quintin,0,PH,1571197227,57,17.54,120.52,87.35,3.57
374,windsor locks,20,US,1571197227,75,41.93,-72.63,45.0,1.68
375,saint-joseph,0,FR,1571197228,71,43.56,6.97,63.0,2.24
376,ilmajoki,75,FI,1571197229,100,62.73,22.58,37.99,4.7
377,villanueva,40,HN,1571197229,94,15.32,-87.99,78.8,2.24
378,arauca,100,VE,1571197230,92,7.08,-70.76,73.49,2.54
379,shenjiamen,100,CN,1571197230,83,29.96,122.3,68.27,20.16
380,bubaque,100,GW,1571197231,77,11.28,-15.83,82.13,7.58
